[0725/135703.438:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0725/142938.932:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0911/223744.060:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0922/014046.250:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0922/015607.362:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0922/020710.143:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0922/022320.932:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0922/023525.510:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0922/031155.530:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0922/051525.257:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[0922/101317.907:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
